timestamp,cpu_percent,memory_mb,net_rx_mbit,net_tx_mbit,blk_read_mb,blk_write_mb
2025-11-14 14:07:02,0.0,14.140625,0.0,0.0,0.0,0.0
2025-11-14 14:07:04,0.0,14.140625,0.0,0.0,0.0,0.0
2025-11-14 14:07:06,0.0,14.140625,0.0,0.0,0.0,0.0
2025-11-14 14:07:08,0.05763224181360201,14.140625,0.0,0.0,0.0,0.0
2025-11-14 14:07:10,0.021206030150753764,14.140625,0.0,0.0,0.0,0.0
2025-11-14 14:07:12,0.0,14.140625,0.0,0.0,0.0,0.0
2025-11-14 14:07:14,100.81234113712374,66.76171875,0.0,0.0,0.0,0.0
2025-11-14 14:07:16,0.0,14.41015625,0.0,0.0,0.0,0.0
2025-11-14 14:07:18,0.0,14.41015625,0.0,0.0,0.0,0.0
2025-11-14 14:07:20,0.0,14.40625,0.0,0.0,0.0,0.0
2025-11-14 14:07:22,0.0,14.40625,0.0,0.0,0.0,0.0
2025-11-14 14:07:24,0.08521008403361344,14.4140625,0.0,0.0,0.0,0.0
2025-11-14 14:07:26,0.06196144174350377,14.4140625,0.0,0.0,0.0,0.0
2025-11-14 14:07:28,0.05351215423302599,14.4140625,0.0,0.0,0.0,0.0
2025-11-14 14:07:30,0.0,14.4140625,0.0,0.0,0.0,0.0
2025-11-14 14:07:32,73.22428093645485,37.3515625,0.0,0.0,0.0,0.0
2025-11-14 14:07:34,58.97564924114671,173.0078125,0.0,0.0,0.0,0.0
2025-11-14 14:07:36,24.265497470489038,286.52734375,0.0,0.0,0.0,0.0
2025-11-14 14:07:38,0.04840167364016737,286.52734375,0.0,0.0,0.0,0.0
2025-11-14 14:07:40,0.07461087866108786,286.52734375,0.0,0.0,0.0,0.0
2025-11-14 14:07:42,0.0944787322768974,286.578125,0.0,0.0,0.0,0.0
2025-11-14 14:07:44,0.0859010896898575,286.578125,0.0,0.0,0.0,0.0
2025-11-14 14:07:46,0.5152644836272041,286.58203125,0.0,0.0,0.0,0.0
2025-11-14 14:07:48,0.11969823973176864,286.58203125,0.0,0.0,0.0,0.0
2025-11-14 14:07:50,33.36542259414226,288.1171875,0.0,0.0,0.0,0.0
2025-11-14 14:07:52,0.39457455770850886,340.88671875,0.0,0.0,0.0,0.0
2025-11-14 14:07:54,0.19605063291139238,340.890625,0.0,0.0,0.0,0.0
2025-11-14 14:07:56,7.339280334728033,341.15625,0.0,0.0,0.0,0.0
2025-11-14 14:07:58,0.20730025231286797,340.90625,0.0,0.0,0.0,0.0
2025-11-14 14:08:00,0.19592654424040065,340.90625,0.0,0.0,0.0,0.0
2025-11-14 14:08:02,0.1603691275167785,340.90625,0.0,0.0,0.0,0.0
2025-11-14 14:08:04,73.0043216080402,365.29296875,0.0,0.0,0.0,0.0
2025-11-14 14:08:06,9.822121212121212,423.171875,0.0,0.0,0.0,0.0
2025-11-14 14:08:08,0.7022072451558551,423.171875,0.0,0.0,0.0,0.0
2025-11-14 14:08:10,0.7476767676767676,423.1796875,0.0,0.0,0.0,0.0
2025-11-14 14:08:12,0.8818675721561968,423.1796875,0.0,0.0,0.0,0.0
2025-11-14 14:08:14,0.7357575757575757,423.18359375,0.0,0.0,0.0,0.0
2025-11-14 14:08:17,1.2568844221105526,423.1953125,0.0,0.0,0.0,0.0
2025-11-14 14:08:19,0.8315648535564855,423.19140625,0.0,0.0,0.0,0.0
2025-11-14 14:08:21,1.5242424242424242,423.19140625,0.0,0.0,0.0,0.0
2025-11-14 14:08:23,27.041306532663317,430.10546875,0.0,0.0,0.0,0.0
2025-11-14 14:08:25,2.304060913705584,477.9765625,0.0,0.0,0.0,0.0
2025-11-14 14:08:27,1.3482828282828283,477.98046875,0.0,0.0,0.0,0.0
2025-11-14 14:08:29,1.2726210350584308,477.984375,0.0,0.0,0.0,0.0
2025-11-14 14:08:31,2.4175020955574182,477.98828125,0.0,0.0,0.0,0.0
2025-11-14 14:08:33,1.3954659949622166,477.98828125,0.0,0.0,0.0,0.0
2025-11-14 14:08:35,74.88170997485331,504.796875,0.0,0.0,0.0,0.0
2025-11-14 14:08:37,16.895979814970563,563.18359375,0.0,0.0,0.0,0.0
2025-11-14 14:08:39,1.902065491183879,563.1875,0.0,0.0,0.0,0.0
2025-11-14 14:08:41,2.6035353535353534,563.19921875,0.0,0.0,0.0,0.0
2025-11-14 14:08:43,2.8005037783375313,563.19921875,0.0,0.0,0.0,0.0
