timestamp,cpu_percent,memory_mb,net_rx_mb,net_tx_mb,blk_read_mb,blk_write_mb
2025-11-09 20:07:19,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:21,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:23,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:25,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:27,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:29,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:31,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:33,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:35,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:37,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:39,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:41,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:43,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:45,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:47,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:49,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:51,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:53,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:55,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:57,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:07:59,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:08:01,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:08:03,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:08:05,0.0,40.3828125,0.0,0.0,0.0,0.0
2025-11-09 20:08:07,0.10571190674437969,41.22265625,0.0,0.0,0.0,0.0
2025-11-09 20:08:10,0.07091366303436715,41.22265625,0.0,0.0,0.0,0.0
2025-11-09 20:08:12,11.30339748953975,57.1640625,0.0,0.0,0.0,0.0
2025-11-09 20:08:14,80.44407345575961,100.26171875,0.0,0.0,0.0,0.0
2025-11-09 20:08:16,0.0,72.07421875,0.0,0.0,0.0,0.0
2025-11-09 20:08:18,0.0,72.04296875,0.0,0.0,0.0,0.0
2025-11-09 20:08:20,0.003594009983361065,72.04296875,0.0,0.0,0.0,0.0
2025-11-09 20:08:22,0.0,72.046875,0.0,0.0,0.0,0.0
2025-11-09 20:08:24,0.06723618090452262,72.046875,0.0,0.0,0.0,0.0
2025-11-09 20:08:26,0.02688963210702341,72.046875,0.0,0.0,0.0,0.0
2025-11-09 20:08:28,68.47682008368201,136.0078125,0.0,0.0,0.0,0.0
2025-11-09 20:08:30,28.927487520798667,344.19140625,0.0,0.0,0.0,0.0
2025-11-09 20:08:32,0.04800000000000001,344.17578125,0.0,0.0,0.0,0.0
2025-11-09 20:08:34,0.0429,344.17578125,0.0,0.0,0.0,0.0
2025-11-09 20:08:36,0.10292845257903493,344.21875,0.0,0.0,0.0,0.0
2025-11-09 20:08:38,0.06688851913477538,344.21875,0.0,0.0,0.0,0.0
2025-11-09 20:08:40,0.05515403830141549,344.22265625,0.0,0.0,0.0,0.0
2025-11-09 20:08:42,0.6268223519599666,344.22265625,0.0,0.0,0.0,0.0
2025-11-09 20:08:44,0.03467110741049126,344.22265625,0.0,0.0,0.0,0.0
2025-11-09 20:08:46,0.051100000000000007,344.22265625,0.0,0.0,0.0,0.0
2025-11-09 20:08:48,0.0,262.1484375,0.0,0.0,0.0,0.0
2025-11-09 20:08:50,0.0,262.1484375,0.0,0.0,0.0,0.0
2025-11-09 20:08:52,0.0,262.14453125,0.0,0.0,0.0,0.0
